AreaNum,AreaName,S_L99,S_LR99,SLRLC99,SLRUC99,EL99,PEL99,PELLCI99,PELUCI99,S_L00,S_LR00,SLRLC00,SLRUC00,EL00,PEL00,PELLCI00,PELUCI00,S_L01,S_LR01,SLRLC01,SLRUC01,EL01,PEL01,PELLCI01,PELUCI01,S_L02,S_LR02,SLRLC02,SLRUC02,EL02,PEL02,PELLCI02,PELUCI02,S_L03,S_LR03,SLRLC03,SLRUC03,EL03,PEL03,PELLCI03,PELUCI03,S_L04,S_LR04,SLRLC04,SLRUC04,EL04,PEL04,PELLCI04,PELUCI04,S_L05,S_LR05,SLRLC05,SLRUC05,EL05,PEL05,PELLCI05,PELUCI05,S_L06,S_LR06,SLRLC06,SLRUC06,EL06,PEL06,PELLCI06,PELUCI06,S_L07,S_LR07,SLRLC07,SLRUC07,EL07,PEL07,PELLCI07,PELUCI07,S_L08,S_LR08,SLRLC08,SLRUC08,EL08,PEL08,PELLCI08,PELUCI08,S_L09,S_LR09,SLRLC09,SLRUC09,EL09,PEL09,PELLCI09,PELUCI09,S_L10,S_LR10,SLRLC10,SLRUC10,EL10,PEL10,PELLCI10,PELUCI10,S_L11,S_LR11,SLRLC11,SLRUC11,EL11,PEL11,PELLCI11,PELUCI11,S_L12,S_LR12,SLRLC12,SLRUC12,EL12,PEL12,PELLCI12,PELUCI12,S_L13,S_LR13,SLRLC13,SLRUC13,EL13,PEL13,PELLCI13,PELUCI13,TOT_POP,WHITE,HISP,BLACK,ASIAN,OTHER,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,NATIVE,FOR_BORN,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,POLISH,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,P_Crowd,P_LT_Pov,PM16UNEMP,PO25NoHS,PU18O64,PC_Income,Hardship,NumKits,NumMT5,MT5_PC,MT5_P_kit,Kit_PC,OneN_Kit
28,Near West Side,1710,399.3,380.4,418.2,261,15.3,13.6,17,1573,367.4,349.2,385.6,235,14.9,13.1,16.7,1430,337.9,320.4,355.4,151,10.6,9,12.2,1315,314.4,297.4,331.4,99,7.5,6.1,8.9,1246,301.5,284.8,318.2,89,7.1,5.7,8.5,1174,287.6,271.1,304.1,55,4.7,3.5,5.9,1153,286,269.5,302.5,22,1.9,1.1,2.7,1030,258.7,242.9,274.5,20,1.9,1.1,2.7,997,253.6,237.9,269.3,10,1,0.4,1.6,983,253.3,237.5,269.1,13,1.3,0.6,2,1203,314,296.3,331.7,10,0.8,0.3,1.3,1195,316.1,298.2,334,5,0.4,0,0,1500,396.7,376.6,416.8,8,0.5,0.1,0.9,1500,397,381,412,8,0.5,0.2,0.9,1521,402,387,418,6,0.4,0.1,0.7,62560,26071,6105,18559,10267,1558,3511,4597,4659,1482,14689,13236,48391,10646,44889,14148,4116,44889,3651,806,2983,313,266,786,1114,3838,391,3.8,20.6,10.7,9.6,22.2,44689,15,139,10.00000000000,0.000159847,0.071942446,0.002221867,450.0719424
61,New City,2839,346.7,333.9,359.5,639,22.5,21,24,2762,337.3,324.7,349.9,540,19.6,18.1,21.1,3148,395,381.2,408.8,503,16,14.7,17.3,3009,388.3,374.4,402.2,415,13.8,12.6,15,3142,417.3,402.7,431.9,278,8.8,7.8,9.8,3084,421.9,407,436.8,206,6.7,5.8,7.6,3418,482.1,465.9,498.3,175,5.1,4.4,5.8,3402,495.2,478.6,511.8,116,3.4,2.8,4,3353,504.2,487.1,521.3,107,3.2,2.6,3.8,3323,516.7,499.1,534.3,52,1.6,1.2,2,3264,525.5,507.5,543.5,36,1.1,0.7,1.5,3067,511.9,493.8,530,19,0.6,0.3,0.9,3325,555,536.1,573.9,25,0.8,0.5,1.1,3230,539,527,552,46,1.4,1,1.8,2711,453,440,465,31,1.1,0.7,1.5,41098,4970,25261,9490,977,400,7476,10661,3235,768,1167,484,25260,12381,16043,21598,10589,16043,20487,137,721,71,50,7,36,79,10,11.9,29,23,41.5,38.9,12765,91,27,4.00000000000,9.73283E-05,0.148148148,0.000656966,1522.148148
5,North Center,516,213,194.6,231.4,33,6.4,4.3,8.5,512,211.3,193,229.6,23,4.5,2.7,6.3,621,243.9,224.7,263.1,25,4,2.5,5.5,568,212.8,195.3,230.3,6,1.1,0.3,1.9,634,227,209.3,244.7,5,0.8,0,0,502,172.2,157.1,187.3,4,0.8,0,0,586,192.8,177.2,208.4,8,1.4,0.5,2.3,564,178.4,163.7,193.1,8,1.4,0.4,2.4,473,144,131,157,2,0.4,0,0,452,132.6,120.4,144.8,2,0.4,0,0,654,185.2,171,199.4,3,0.5,0,0,595,162.8,149.7,175.9,6,1,0.2,1.8,651,178.1,164.4,191.8,6,0.9,0.2,1.6,683,187,174,200,4,0.6,0,1.2,681,186,174,199,1,0.1,0,0.4,34942,26996,4378,713,1563,1292,1548,2478,2807,925,10509,7017,28105,3676,26776,5005,1322,26776,2723,364,117,297,105,33,201,1052,113,0.3,7.5,5.2,4.5,26.2,57123,6,319,80.00000000000,0.002289508,0.250783699,0.009129414,109.5360502
29,North Lawndale,2946,502,483.9,520.1,898,30.5,28.8,32.2,2388,406.9,390.6,423.2,677,28.4,26.6,30.2,2618,458.3,440.7,475.9,572,21.8,20.2,23.4,2458,442.5,425,460,484,19.7,18.1,21.3,2537,470.1,451.8,488.4,328,12.9,11.6,14.2,2534,483.6,464.8,502.4,278,11,9.8,12.2,2444,480.8,461.7,499.9,141,5.8,4.9,6.7,2254,457.6,438.7,476.5,97,4.3,3.5,5.1,2253,472.4,452.9,491.9,63,2.8,2.1,3.5,2177,472.1,452.3,491.9,46,2.1,1.5,2.7,2220,498.4,477.7,519.1,33,1.5,1,2,2301,535.5,513.6,557.4,38,1.7,1.2,2.2,2431,565.7,543.2,588.2,35,1.4,0.9,1.9,2364,550,535,565,36,1.5,1,2,2435,567,552,581,21,0.9,0.5,1.2,35423,796,2897,31112,83,535,5471,6533,5239,1123,1484,647,31366,1185,29757,2794,1034,29757,2425,36,0,0,3,51,26,159,94,7.4,43.1,21.2,27.6,42.7,12034,87,22,2.00000000000,5.64605E-05,0.090909091,0.000621065,1610.136364
13,North Park,332,192.4,171.7,213.1,12,3.6,1.6,5.6,415,240.4,217.3,263.5,22,5.3,3.1,7.5,409,240.7,217.4,264,12,2.9,1.3,4.5,419,250.6,226.6,274.6,13,3.1,1.4,4.8,447,271.7,246.5,296.9,11,2.5,1.1,3.9,352,217.6,194.9,240.3,7,2,0.5,3.5,463,291,264.5,317.5,7,1.5,0.4,2.6,451,288.4,261.8,315,5,1.1,0,0,443,288.2,261.4,315,6,1.4,0.3,2.5,503,333.1,304,362.2,1,0.2,0,0,473,318.9,290.2,347.6,4,0.8,0,0,425,291.9,264.1,319.7,1,0.2,0,0,462,317.3,288.4,346.2,2,0.4,0,0,384,264,241,286,4,1,0,2.1,427,293,270,317,4,0.9,0,1.9,18743,9642,3092,448,5121,440,1443,2642,2312,697,3889,1965,9873,7561,7668,9766,4115,7668,2124,866,474,501,841,539,579,3335,507,3.9,13.2,9.9,14.4,39,26576,33,81,26.00000000000,0.001387185,0.320987654,0.004321613,231.3950617
10,Norwood Park,248,84.6,74.1,95.1,4,1.6,0,0,293,100,88.5,111.5,2,0.7,0,0,290,98.7,87.3,110.1,5,1.7,0,0,339,115.1,102.8,127.4,1,0.3,0,0,366,123.9,111.2,136.6,3,0.8,0,0,341,115.2,103,127.4,1,0.3,0,0,409,137.8,124.4,151.2,2,0.5,0,0,400,134.5,121.3,147.7,2,0.5,0,0,451,151.2,137.2,165.2,4,0.9,0,0,415,138.8,125.4,152.2,3,0.7,0,0,502,167.5,152.8,182.2,0,0,0,0,458,152.5,138.5,166.5,3,0.7,0,0,490,163.1,148.7,177.5,0,0,0,0,408,136,124,148,0,0,0,0,443,147,135,160,0,0,0,0,36164,29774,4225,169,1178,818,2104,6987,5967,2220,6256,3477,26617,7411,23699,10328,3977,23699,2488,4637,131,586,449,26,120,1787,105,2,5.4,9,11.5,39.5,32875,21,299,136.00000000000,0.003760646,0.454849498,0.008267891,120.9498328
36,Oakland,326,342.8,305.6,380,31,9.5,6.3,12.7,298,313.4,277.8,349,37,12.4,8.7,16.1,271,293.6,258.6,328.6,18,6.6,3.6,9.6,211,235.8,204,267.6,17,8.1,4.4,11.8,327,376.7,335.9,417.5,7,2.1,0.5,3.7,313,372.6,331.3,413.9,5,1.6,0,0,362,445.8,399.9,491.7,3,0.8,0,0,207,264,228,300,0,0,0,0,241,318.8,278.6,359,0,0,0,0,243,333.3,291.4,375.2,0,0,0,0,288,410.8,363.4,458.2,3,1,0,0,278,413.1,364.5,461.7,2,0.7,0,0,293,435.4,385.5,485.3,1,0.3,0,0,314,467,429,504,0,0,0,0,333,495,457,533,0,0,0,0,6474,125,240,5949,124,36,578,856,1124,294,468,442,5434,591,5321,704,157,5321,203,6,0,14,0,0,25,116,340,1.3,39.7,28.7,18.4,40.4,19252,78,6,1.00000000000,0.000154464,0.166666667,0.000926784,1079
76,O'Hare,76,93.6,73.7,117.2,0,0,0,0,101,124.4,100.1,148.7,2,2,0,0,110,129.7,105.5,153.9,2,1.8,0,0,113,127.8,104.2,151.4,1,0.9,0,0,146,158.9,133.1,184.7,1,0.7,0,0,118,123.6,101.3,145.9,3,2.5,0,0,164,165.5,140.2,190.8,2,1.2,0,0,188,183.1,156.9,209.3,1,0.5,0,0,181,170.3,145.5,195.1,0,0,0,0,195,177.6,152.7,202.5,1,0.5,0,0,219,193.1,167.5,218.7,0,0,0,0,266,227.4,200.1,254.7,0,0,0,0,214,182.9,158.4,207.4,1,0.5,0,0,235,201,178,224,0,0,0,0,253,216,193,240,0,0,0,0,13130,9664,1147,233,1423,662,1130,2354,2066,930,2351,1375,5629,6656,4567,7719,3444,4567,828,3764,60,361,978,36,491,1080,120,3.6,15.4,7.1,10.9,30.3,25828,24,23,6.00000000000,0.000456969,0.260869565,0.001751714,570.8695652
15,Portage Park,1038,178.4,167.5,189.3,50,4.8,3.5,6.1,1143,196.4,185,207.8,42,3.7,2.6,4.8,1220,208.8,197.1,220.5,35,2.9,2,3.8,1232,210,198.3,221.7,35,2.8,1.9,3.7,1414,240.1,227.6,252.6,26,1.8,1.1,2.5,1316,222.5,210.5,234.5,37,2.8,1.9,3.7,1497,252.1,239.3,264.9,23,1.5,0.9,2.1,1504,252.3,239.5,265.1,20,1.3,0.7,1.9,1605,268.1,255,281.2,21,1.3,0.7,1.9,1717,285.7,272.2,299.2,14,0.8,0.4,1.2,1912,316.9,302.7,331.1,23,1.2,0.7,1.7,1816,299.8,286,313.6,15,0.8,0.4,1.2,1740,287.3,273.8,300.8,9,0.5,0.2,0.8,1666,275,264,286,6,0.4,0.1,0.6,1711,282,271,294,11,0.6,0.3,1,64517,31774,27575,862,2946,1360,7462,12802,8808,3622,8117,4022,39822,20830,25252,35400,14882,25252,21290,8233,180,1709,759,131,416,2367,316,4.1,11.6,12.6,19.3,34,24336,35,277,104.00000000000,0.001611978,0.375451264,0.004293442,232.9133574
50,Pullman,249,247,216.3,277.7,40,16.1,11.5,20.7,278,275.8,243.4,308.2,42,15.1,10.9,19.3,305,312.5,277.4,347.6,26,8.5,5.4,11.6,306,324.5,288.1,360.9,19,6.2,3.5,8.9,313,343.6,305.5,381.7,20,6.4,3.7,9.1,284,323.1,285.5,360.7,16,5.6,2.9,8.3,301,355.4,315.2,395.6,10,3.3,1.3,5.3,307,377.1,334.9,419.3,9,2.9,1,4.8,294,376,333,419,6,2,0.4,3.6,311,414.7,368.6,460.8,7,2.3,0.7,3.9,325,453.3,404,502.6,5,1.5,0,0,264,385.4,338.9,431.9,6,2.3,0.5,4.1,273,398.5,351.2,445.8,10,3.7,1.5,5.9,246,359,323,395,2,0.8,0,1.9,231,337,302,373,1,0.4,0,1.3,6620,633,335,5474,43,135,597,1195,1401,324,799,354,5931,238,5706,463,271,5706,315,0,11,0,0,0,13,98,26,1.5,21.6,22.8,13.1,38.6,20588,51,18,8.00000000000,0.001208459,0.444444444,0.002719033,367.7777778
