CountyNum,CountyName,PercLTPov,PopLT6,TotTest16,Less5,Five2Nine,Over10,Over5,Poulation,SaleBW06,SaleBW07,SaleBW08,SaleBW09,SaleBW10,SaleBW11,SaleBW12,SaleBW13,SaleBW14,SaleBW15,SaleBW16,SaleBW17,CumSaleBW,NSaleBW06,NSaleBW07,NSaleBW08,NSaleBW09,NSaleBW10,NSaleBW11,NSaleBW12,NSaleBW13,NSaleBW14,NSaleBW15,NSaleBW16,NSaleBW17,CumNSaleBW,VolBW06,VolBW07,VolBW08,VolBW09,VolBW10,VolBW11,VolBW12,VolBW13,VolBW14,VolBW15,VolBW16,VolBW17,CumVolBW,NVol06,NVol07,NVol08,NVol09,NVol10,NVol11,NVol12,NVol13,NVol14,NVol15,NVol16,NVol17,CumNVol
17085,Jo Daviess,7.60000000000,"1,460",220,96,2.70000000000,1.80000000000,4.50000000000,21594,2590.00000000000,2870.00000000000,2420.00000000000,22400.00000000000,6760.00000000000,51600.00000000000,51000.00000000000,51800.00000000000,52900.00000000000,60600.00000000000,65900.00000000000,63100.00000000000,434000.00000000000,0.12000000000,0.13300000000,0.11200000000,1.04000000000,0.31300000000,2.39000000000,2.36000000000,2.40000000000,2.45000000000,2.81000000000,3.05000000000,2.92000000000,1.67000000000,115000.00000000000,136000.00000000000,146000.00000000000,1860000.00000000000,739000.00000000000,4300000.00000000000,4210000.00000000000,5060000.00000000000,5690000.00000000000,6990000.00000000000,8010000.00000000000,8190000.00000000000,45400000.00000000000,5.32000000000,6.29000000000,6.78000000000,86.30000000000,34.20000000000,199.00000000000,195.00000000000,234.00000000000,264.00000000000,324.00000000000,371.00000000000,379.00000000000,175.00000000000
17161,Rock Island,14.60000000000,"12,901","2,949",92,6.20000000000,1.90000000000,8.10000000000,144808,1080000.00000000000,1200000.00000000000,1130000.00000000000,1140000.00000000000,740000.00000000000,1240000.00000000000,1350000.00000000000,1420000.00000000000,1440000.00000000000,1850000.00000000000,1970000.00000000000,1950000.00000000000,16500000.00000000000,7.48000000000,8.32000000000,7.80000000000,7.89000000000,5.11000000000,8.58000000000,9.32000000000,9.79000000000,9.94000000000,12.80000000000,13.60000000000,13.50000000000,9.51000000000,91800000.00000000000,103000000.00000000000,103000000.00000000000,107000000.00000000000,93600000.00000000000,122000000.00000000000,132000000.00000000000,137000000.00000000000,146000000.00000000000,196000000.00000000000,215000000.00000000000,220000000.00000000000,1670000000.00000000000,634.00000000000,713.00000000000,714.00000000000,742.00000000000,647.00000000000,841.00000000000,912.00000000000,949.00000000000,1010.00000000000,1350.00000000000,1480.00000000000,1520.00000000000,959.00000000000
17197,Will,7.40000000000,"58,874","9,873",97,2.20000000000,0.40000000000,2.60000000000,692661,7540000.00000000000,8600000.00000000000,7580000.00000000000,7220000.00000000000,2160000.00000000000,6980000.00000000000,7080000.00000000000,6910000.00000000000,6610000.00000000000,6920000.00000000000,7470000.00000000000,6610000.00000000000,81700000.00000000000,10.90000000000,12.40000000000,10.90000000000,10.40000000000,3.11000000000,10.10000000000,10.20000000000,9.97000000000,9.55000000000,9.99000000000,10.80000000000,9.55000000000,9.82000000000,685000000.00000000000,818000000.00000000000,745000000.00000000000,737000000.00000000000,274000000.00000000000,721000000.00000000000,732000000.00000000000,769000000.00000000000,730000000.00000000000,743000000.00000000000,804000000.00000000000,684000000.00000000000,8440000000.00000000000,989.00000000000,1180.00000000000,1080.00000000000,1060.00000000000,395.00000000000,1040.00000000000,1060.00000000000,1110.00000000000,1050.00000000000,1070.00000000000,1160.00000000000,987.00000000000,1020.00000000000
17093,Kendall,5.60000000000,"12,948",786,98,1.40000000000,0.30000000000,1.70000000000,126218,566000.00000000000,538000.00000000000,457000.00000000000,462000.00000000000,173000.00000000000,503000.00000000000,559000.00000000000,578000.00000000000,488000.00000000000,1080000.00000000000,1190000.00000000000,1180000.00000000000,7770000.00000000000,4.48000000000,4.27000000000,3.62000000000,3.66000000000,1.37000000000,3.99000000000,4.43000000000,4.58000000000,3.86000000000,8.57000000000,9.43000000000,9.35000000000,5.13000000000,47100000.00000000000,43100000.00000000000,36700000.00000000000,39400000.00000000000,20400000.00000000000,47700000.00000000000,53400000.00000000000,57700000.00000000000,46100000.00000000000,112000000.00000000000,126000000.00000000000,127000000.00000000000,757000000.00000000000,373.00000000000,341.00000000000,291.00000000000,312.00000000000,161.00000000000,378.00000000000,423.00000000000,458.00000000000,365.00000000000,884.00000000000,997.00000000000,1000.00000000000,499.00000000000
17099,LaSalle,13.60000000000,"8,456","1,544",94,4.80000000000,1.60000000000,6.40000000000,110067,906000.00000000000,931000.00000000000,866000.00000000000,826000.00000000000,446000.00000000000,924000.00000000000,970000.00000000000,987000.00000000000,1020000.00000000000,1130000.00000000000,1230000.00000000000,630000.00000000000,10900000.00000000000,8.23000000000,8.46000000000,7.86000000000,7.50000000000,4.06000000000,8.40000000000,8.81000000000,8.96000000000,9.23000000000,10.30000000000,11.20000000000,5.73000000000,8.23000000000,85300000.00000000000,88900000.00000000000,87200000.00000000000,88300000.00000000000,59200000.00000000000,104000000.00000000000,108000000.00000000000,111000000.00000000000,114000000.00000000000,127000000.00000000000,138000000.00000000000,60700000.00000000000,1170000000.00000000000,775.00000000000,808.00000000000,792.00000000000,802.00000000000,538.00000000000,941.00000000000,985.00000000000,1000.00000000000,1040.00000000000,1150.00000000000,1250.00000000000,552.00000000000,886.00000000000
17011,Bureau,12.60000000000,"2,605",394,92,5.80000000000,2.30000000000,8.10000000000,33243,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
17073,Henry,12.50000000000,"3,890",762,93,6.00000000000,1.30000000000,7.30000000000,49328,23400.00000000000,22100.00000000000,22300.00000000000,29100.00000000000,20600.00000000000,66900.00000000000,79500.00000000000,91900.00000000000,88000.00000000000,91600.00000000000,95400.00000000000,85600.00000000000,716000.00000000000,0.47400000000,0.44900000000,0.45300000000,0.58900000000,0.41800000000,1.36000000000,1.61000000000,1.86000000000,1.78000000000,1.86000000000,1.93000000000,1.74000000000,1.21000000000,2090000.00000000000,2000000.00000000000,1910000.00000000000,2600000.00000000000,2340000.00000000000,4160000.00000000000,4940000.00000000000,6760000.00000000000,4870000.00000000000,4580000.00000000000,4820000.00000000000,4040000.00000000000,45100000.00000000000,42.40000000000,40.50000000000,38.70000000000,52.80000000000,47.40000000000,84.40000000000,100.00000000000,137.00000000000,98.70000000000,92.80000000000,97.70000000000,82.00000000000,76.20000000000
17063,Grundy,9.40000000000,"4,529",513,96,3.30000000000,0.40000000000,3.70000000000,50586,19400.00000000000,22100.00000000000,79400.00000000000,78800.00000000000,12700.00000000000,94300.00000000000,90200.00000000000,91800.00000000000,94300.00000000000,760000.00000000000,842000.00000000000,854000.00000000000,3040000.00000000000,0.38400000000,0.43600000000,1.57000000000,1.56000000000,0.25100000000,1.86000000000,1.78000000000,1.82000000000,1.86000000000,15.00000000000,16.70000000000,16.90000000000,5.01000000000,1150000.00000000000,1330000.00000000000,3740000.00000000000,3910000.00000000000,1380000.00000000000,4400000.00000000000,4240000.00000000000,4930000.00000000000,4070000.00000000000,75300000.00000000000,87600000.00000000000,87200000.00000000000,279000000.00000000000,22.80000000000,26.30000000000,73.90000000000,77.20000000000,27.30000000000,87.00000000000,83.90000000000,97.50000000000,80.50000000000,1490.00000000000,1730.00000000000,1720.00000000000,460.00000000000
17131,Mercer,11.40000000000,"1,158",230,91,6.50000000000,2.20000000000,8.70000000000,15618,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
17155,Putnam,8.90000000000,347,68,100,0.00000000000,0.00000000000,0.00000000000,5727,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000
